iso3c,Country,Maximum_Pop_pct_diff,Grow_Rate_Pop_pct_diff,Population_pct_diff,Contraception_pct_diff,Species_pct_diff,GDP_pp_pct_diff
AFG,Afghanistan,5.83,5.53,2.7,0,3.64,-2.78
ALB,Albania,5.92,-10.85,-1.07,0,5.1,23.09
DZA,Algeria,6.82,-4.91,1.57,0,1.08,23.19
AGO,Angola,16.09,-2.26,3.08,0,4.37,-23
ATG,Antigua and Barbuda,40.91,-1.72,0.58,NA,0,14.99
ARG,Argentina,2.29,-3.23,0.91,0,8,0.29
ARM,Armenia,2.85,-76.32,-0.09,0,3.45,24.39
AUS,Australia,4.86,109.73,2.54,0,1.28,0.34
AUT,Austria,6,4.17,0.99,0,2.64,8.4
AZE,Azerbaijan,-1.42,-178.38,-0.61,0,0.98,-7.49
BHS,Bahamas,0,25.49,0.64,0,0.7,10.46
BHR,Bahrain,21,47.54,0.9,0,6.35,-3.55
BGD,Bangladesh,5.09,-3.74,1.03,0,8.48,-5.95
BRB,Barbados,4.55,-18.75,0.13,0,0,13.24
BLR,Belarus,6.67,-46.53,-0.33,0,2.78,-0.89
BEL,Belgium,4.54,75.76,1.31,0,6.25,7.87
BLZ,Belize,9.04,4.62,1.37,0,10.85,14.63
BEN,Benin,9.31,-1.48,2.7,0,1.48,10
BTN,Bhutan,3.96,-1.56,0.63,0,4.88,13.15
BOL,Bolivia,5.53,12.61,1.35,0,28.98,5.11
BIH,Bosnia and Herzegovina,1.04,-39.13,-0.7,0,6.02,11.07
BWA,Botswana,-7.35,6.25,1.71,0,0,-6.33
BRA,Brazil,2.17,10.87,0.52,0,11.04,12.56
BRN,Brunei,-26.87,-3.7,0.78,NA,11.7,-10.01
BGR,Bulgaria,-1.29,-64.47,-0.54,0,3.42,14.74
BFA,Burkina Faso,4.18,-1.56,2.55,0,2.5,4.82
BDI,Burundi,6.84,0.38,2.71,0,-0.46,-16.67
CPV,Cabo Verde,5.94,5.68,0.93,0,0.78,10.77
KHM,Cambodia,11.32,-1.87,1.06,0,13.86,5.03
CMR,Cameroon,8.5,-0.38,2.62,0,2.08,5.03
CAN,Canada,6.86,60.99,3,0,0.51,-2.91
CAF,Central African Republic,-1.59,30.32,2.92,0,2.97,4.65
TCD,Chad,8.62,-1.28,3.13,0,1.82,0
CHL,Chile,1.7,-77.19,0.13,0,15.19,11.26
CHN,China,-0.78,900,-0.1,0,15.43,-0.86
COL,Colombia,7.85,-40.58,0.41,0,1.64,5.28
COM,Comoros,6.29,-1.09,1.83,0,1.34,7.43
CRI,Costa Rica,6.66,15.38,0.6,0,18.17,25.76
HRV,Croatia,4.23,-90.77,-0.02,NA,2.46,16.57
CUB,Cuba,1.04,-58.97,-0.16,0,5,-80.39
CUW,Curacao,NA,-8.92,-1.43,NA,1.18,15.63
CYP,Cyprus,7.35,18.97,0.69,NA,0,10.93
CZE,Czech Republic,18.3,884.21,3.3,0,4.72,10.09
COD,Democratic Republic of the Congo,5.7,0.94,3.29,0,2.41,10.17
DNK,Denmark,-0.18,-6.33,0.74,NA,3.3,1.48
DJI,Djibouti,-17.61,0.73,1.39,0,5.43,14.97
DMA,Dominica,8,-6.67,0.41,0,0,6.42
DOM,Dominican Republic,5.48,-7.07,0.93,0,14.47,5.93
TLS,East Timor,-9.75,-6.54,1.44,0,11.86,-30.08
ECU,Ecuador,10.47,-7.89,1.05,0,1.82,2.19
EGY,Egypt,11.46,-1.91,1.56,0,3.35,-18.37
SLV,El Salvador,7.17,28.57,0.45,0,14.12,4.09
GNQ,Equatorial Guinea,-20.07,-3.69,2.37,0,4.04,0.28
ERI,Eritrea,7.96,0,1.76,0,1.86,NA
EST,Estonia,-3.33,24.27,1.59,0,1.79,5.26
SWZ,Eswatini,5.98,-2.56,0.76,0,76.6,-5.94
ETH,Ethiopia,6.86,-0.79,2.55,0,39.66,25.24
FJI,Fiji,-3.59,26.79,0.71,NA,1.4,10.34
FIN,Finland,-3.92,75.86,0.49,0,4.41,6.37
FRA,France,4.5,7.41,0.35,0,3,8.54
GUF,French Guiana,22.31,NA,NA,NA,24.62,NA
GAB,Gabon,-6.39,-2.48,1.99,0,4.59,-4.54
GMB,Gambia,4.3,-0.81,2.48,0,2.42,0
GEO,Georgia,4.93,1180,1.29,0,0.76,22.47
DEU,Germany,6.87,-23.58,0.48,0,3.12,8.92
GHA,Ghana,1.75,-1.55,1.93,0,0,2.75
GRC,Greece,9.47,-10,-1.94,0,0.17,10.9
GRD,Grenada,-1.96,-10.61,0.59,0,0,4.39
GTM,Guatemala,8.63,-2.78,1.41,0,11.17,6.03
GIN,Guinea,8.13,-1.26,2.39,0,1.66,8.5
GNB,Guinea Bissau,4.24,-0.93,2.15,0,1.6,16.67
GUY,Guyana,35.2,21.15,0.63,0,47.52,8.64
HTI,Haiti,2.17,0.84,1.21,0,10.89,-3.43
HND,Honduras,7.44,2.68,1.54,0,3.75,6.91
HUN,Hungary,3.12,103.7,-0.97,0,3.5,19.99
ISL,Iceland,0,20.08,3.06,NA,2.44,8.11
IND,India,0.8,19.12,0.81,0,14.1,3.77
IDN,Indonesia,2.25,15.62,0.74,0,14.07,3.13
IRN,Iran,-3.3,-1.41,0.7,0,1.57,2.51
IRQ,Iraq,5.11,2.28,2.27,0,5.1,-7.24
IRL,Ireland,5.19,145.28,3.45,0,6.52,-0.35
ISR,Israel,1.96,4.57,2.16,0,3.24,-4.39
ITA,Italy,10.75,-30.23,-0.16,0,1.97,12.32
CIV,Ivory Coast,-1.11,2.04,2.53,0,0.6,9.64
JAM,Jamaica,24.64,500,-0.07,0,-0.84,13.55
JPN,Japan,4.4,11.36,-0.49,0,0.33,0.03
JOR,Jordan,10.29,-63.41,0.45,0,3.82,6.67
KAZ,Kazakhstan,-9.78,-58.39,1.42,0,-3.03,16.9
KEN,Kenya,18.88,3.14,1.99,0,3.87,-7.14
KWT,Kuwait,-6.33,118.18,0.97,0,5.56,-13.19
KGZ,Kyrgyzstan,13.08,8.48,4.37,0,1.64,22.36
LAO,Laos,-7.06,-1.43,1.39,0,10.96,-0.48
LVA,Latvia,-6.6,-316.67,-0.09,0,2.13,6.09
LBN,Lebanon,23.5,34.41,-2.47,0,-1.04,-19.08
LSO,Lesotho,10.14,0,1.06,0,0,-20.72
LBR,Liberia,-2.36,3.85,2.18,0,2.72,6.67
LBY,Libya,0,-2.63,1.12,0,3.26,9.08
LIE,Liechtenstein,NA,-12.16,0.64,NA,13.33,1.73
LTU,Lithuania,-0.92,23.68,1.37,0,4.55,9.14
LUX,Luxemborg,9.09,41.57,2.74,NA,23.53,1.45
MDG,Madagascar,7.37,0,2.41,0,2.46,3.92
MWI,Malawi,8.05,-0.39,2.58,0,3.95,3.08
MYS,Malaysia,-2.41,0.93,1.09,0,6.03,-2.67
MDV,Maldives,0,-217.78,-0.53,0,6.59,7.19
MLI,Mali,6.52,-1.61,3.1,0,1.39,8.43
MLT,Malta,-1.75,334.04,5.69,0,2.9,11.61
MRT,Mauritania,9.73,1.93,2.68,0,1.53,-1.83
MUS,Mauritius,15.73,-60,-0.12,0,0.68,11.74
MEX,Mexico,12.22,17.46,0.75,0,7.26,25.61
MDA,Moldova,16.76,137.93,-4.07,0,2.78,19.6
MCO,Monaco,NA,-20.34,-0.47,NA,4.17,2.79
MNG,Mongolia,-0.67,-4.67,1.44,0,-2.33,16.36
MNE,Montenegro,22.98,-65.31,0,0,4.85,21.54
MAR,Morocco,-8.84,-0.98,1.02,0,5.04,3.97
MOZ,Mozambique,1.85,1.46,2.81,0,2.57,12.96
MMR,Myanmar,7.55,2.82,0.74,0,16.18,8.18
NAM,Namibia,12.5,-0.69,1.45,0,12.42,-3.46
NPL,Nepal,-0.89,-32.54,1.14,0,0.76,-1.49
NLD,Netherlands,2.41,4.17,1,0,8.43,11.7
NZL,New Zealand,0.63,720,1.93,0,0.72,0.58
NIC,Nicaragua,3.68,-1.41,1.41,0,2.31,11.95
NER,Niger,11.25,0.54,3.8,0,2.33,16.98
NGA,Nigeria,5.15,0,2.41,0,1.3,-25.69
PRK,North Korea,-5.29,-7.89,0.35,0,2.5,NA
MKD,North Macedonia,7.1,200,-11.94,0,1.36,23.67
NOR,Norway,-0.43,26.67,1.14,0,2.22,-17.14
OMN,Oman,11.05,20.33,1.49,0,4.76,-7.02
PAK,Pakistan,-2.01,3.7,1.98,0,2.15,-11.88
PAN,Panama,19.56,2.29,1.35,0,4.81,7.49
PNG,Papua New Guinea,5.3,-4.69,1.85,0,6.27,-0.99
PRY,Paraguay,2.05,3.51,1.19,0,25.3,1.79
PER,Peru,4.43,-10.1,0.89,0,18.48,9.26
PHL,Philippines,7.52,4.79,1.54,0,9.42,6.57
POL,Poland,4.72,-24.49,-2.33,0,3.54,20.69
PRT,Portugal,7.55,111.54,1.41,NA,0,12.4
QAT,Qatar,2.61,203.85,0.79,0,7.04,-0.65
COG,Republic of the Congo,-0.89,-0.88,2.29,0,3.83,2.45
ROU,Romania,-1.03,-105.81,0.52,0,2.35,15.92
RUS,Russia,2.52,-514.29,0.19,0,0.63,-9.97
RWA,Rwanda,4.2,-1.3,2.31,0,0.51,3.09
STP,Sao Tome and Principe,-11.63,2.63,1.97,0,1.42,8.33
SAU,Saudi Arabia,-0.5,15.75,1.48,0,2.34,-5.09
SEN,Senegal,13.47,-0.78,2.58,0,2.21,9.38
SRB,Serbia,18.18,-35.78,-2.1,0,4.13,20.98
SYC,Seychelles,0,-111.25,19.7,NA,1.52,12.67
SLE,Sierra Leone,4.65,-1.84,2.15,0,2.71,-6.52
SGP,Singapore,14.89,46.83,4.98,0,4.38,2.32
SVK,Slovakia,10.79,-67.86,-0.09,NA,2.24,15.1
SVN,Slovenia,9.42,1300,0.58,0,3.32,9.16
SLB,Solomon Islands,-0.48,-3.49,2.23,0,2.31,0
SOM,Somalia,4.5,-0.65,3.1,0,15.09,39.13
ZAF,South Africa,14.86,3.57,0.87,0,6.19,-7.82
KOR,South Korea,0.23,-134.78,0.16,0,15.43,2.7
SSD,South Sudan,10.47,5.26,1.61,0,5.88,0
ESP,Spain,19.23,195.24,1.59,0,1.05,11.35
LKA,Sri Lanka,0,-690.91,-0.65,0,2.07,14.33
VCT,Saint Vincent and the Grenadines,29.09,-35.14,-0.24,NA,0,12.6
KNA,Saint Kitts and Nevis,0,90.91,0.21,NA,0,11.74
LCA,Saint Lucia,17.14,83.33,0.22,0,0,21.78
SDN,Sudan,6.83,-1.14,2.63,0,1.16,106.36
SUR,Suriname,5,2.44,0.84,0,20.93,3.58
SWE,Sweden,8.49,-30.88,0.47,NA,2.56,0.79
CHE,Switzerland,8.31,10.53,0.91,0,4.09,8.57
SYR,Syria,8.72,31.71,4.98,0,-0.57,-22.22
TWN,Taiwan,-0.1,-26.67,-1.96,-0.66,1.65,0
TJK,Tajikistan,-3.56,-7.77,1.92,0,3.39,13.33
TZA,Tanzania,5.92,-1.35,2.96,0,1.51,1.68
THA,Thailand,-5.49,15.38,0.15,0,7.11,3.76
TGO,Togo,-0.39,-1.72,2.32,0,0.78,9.78
TTO,Trinidad and Tobago,3.75,-28.57,0.25,0,3.05,0.6
TUN,Tunisia,17.01,7.89,0.83,0,0.78,3.17
TUR,Turkiye,-0.86,-37.88,-0.02,0,0.44,22.32
TKM,Turkmenistan,3.13,-5.04,1.33,0,-1.67,25.89
UGA,Uganda,17.16,-7.33,2.82,0,2.88,5.21
UKR,Ukraine,38.9,-81.18,-2.63,0,2.04,14.35
ARE,United Arab Emirates,8.28,-1.23,0.8,0,4.26,-1.45
GBR,United Kingdom,-0.41,-1125,2.06,0,4,6.59
USA,United States of America,4.34,28.95,0.49,0,3.11,6.94
URY,Uruguay,-6.14,-110,0.01,0,8.03,8.46
UZB,Uzbekistan,-0.35,1.92,2.14,0,-2.63,10.62
VEN,Venezuela,6,422.22,1.9,0,8.87,0
VNM,Vietnam,-2.14,-8.11,0.68,0,12.86,4.57
YEM,Yemen,-4.48,3.27,2.24,0,1.48,-22.06
ZMB,Zambia,4.8,-1.45,2.76,0,8.03,-8.05
ZWE,Zimbabwe,-10,3.47,2.11,0,0.74,25.2
